Date,Event,Category,Description
1990-08-02,Gulf War Begins,Geopolitical,Iraq invades Kuwait; major supply disruption.
1997-07-01,Asian Financial Crisis,Economic,Currency devaluations lead to massive demand drop in Asia.
1998-12-01,OPEC Production Cut,Policy,OPEC cuts supply to combat low prices after Asian crisis.
2001-09-11,9/11 Terror Attacks,Geopolitical,Immediate aviation halt and global economic uncertainty.
2003-03-20,Iraq War Invasion,Geopolitical,US-led invasion of Iraq creating supply uncertainty.
2008-07-11,Commodity Price Peak,Economic,Brent hits $147 due to speculation and emerging market demand.
2008-09-15,Lehman Brothers Collapse,Economic,Global Financial Crisis triggers massive demand destruction.
2011-02-15,Libyan Civil War (Arab Spring),Geopolitical,Protests in MENA region; Libyan oil production stops.
2014-06-01,Shale Revolution / OPEC War,Policy,US shale output surges; OPEC refuses to cut supply to kill competition.
2016-11-30,OPEC+ Declaration,Policy,OPEC and Russia agree to historic cuts to stabilize the market.
2018-05-08,US Withdraws from Iran Deal,Geopolitical,Re-imposition of sanctions on Iranian oil exports.
2020-03-08,COVID-19 Price War,Policy,Saudi Arabia and Russia fail to agree on cuts; price war begins during pandemic.
2020-04-20,Negative WTI Prices,Economic,Storage capacity runs out; massive demand crash due to global lockdowns.
2021-10-01,Post-Pandemic Energy Crisis,Economic,Rapid demand recovery outstrips supply as economies reopen.
2022-02-24,Invasion of Ukraine,Geopolitical,Russia invades Ukraine; Western sanctions on Russian energy exports.